ID del campo,Nemónico del campo,Descripción,Alias,Códigos,Concepto,Formato del dato,Longitud,Precisión,Formato para visualización,Tipo de campo,Fecha,Fuente,,,,,,,,,,,,,,,,,,,,,
1,año,Año,Año,Numérico,Año,Numérico entero,4,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
2,mes,Mes,Mes,01-12,Mes,Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
3,cve_ent,"Clave de la entidad federativa, de acuerdo con el catálogo de entidades federativas, municipios y localidades del Instituto Nacional de Estadística y Geografía (INEGI),  en la que se ejerció el financiamiento",Clave de entidad federativa,01-32,Clave que identifica a la entidad federativa.,Texto,2,,,Clave de la entidad geográfica,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
4,entidad,"Nombre de la entidad federativa, de acuerdo con el catálogo de entidades federativas, municipios y localidades del INEGI, en la que se ejerció el financiamiento",Nombre de la entidad federativa,Texto,Nombre oficial de la entidad federativa,Texto,30,,,Id descriptivo,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
5,cve_mun,"Clave del  municipio, de acuerdo con el catálogo de entidades federativas, municipios y localidades del Instituto Nacional de Estadística y Geografía (INEGI),  en la que se ejerció el financiamiento",Clave municipal,000-570,Clave de municipio o demarcación territorial,Texto,3,,,Clave de municipio,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
6,municipio,"Nombre del municipio, de acuerdo con el catálogo de entidades federativas, municipios y localidades del INEGI, en la que se ejerció el financiamiento",Nombre del municipio,Texto,Nombre oficial del municipio o demarcación territorial en el caso de la Ciudad de México.,Texto,30,,,Id descriptivo,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
7,sexo,Sexo de los acreditado(a)s,Sexo,1,Hombre,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,2,Mujer,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,,No disponible,,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
8,edad_rango,Rango de edad en años de los acreditados ,Rango de edad,1,29  o menos,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,2,30 a 59 ,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,3,60 o más,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,,No especificado,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
9,ingresos_rango,Rango de ingresos de los acreditados expresados en Unidades de Medida y Actualización (UMAs) mensuales,Rangos de ingresos mensuales del acreditado,1,2.6 o menos  ,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,2,2.61 a 4.00 ,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,3,4.01 a 6.00,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,4,6.01 a 9.00,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,5,9.01 a 12.00 ,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,6,Más de 12,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,,No especificado,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
10,vivienda_valor,"Valor de la vivienda

Económica. Superficie construida en promedio: 40m2, costo promedio: 118 UMAs cuentan con 1 baño, cocina, área de usos múltiples.

Popular. Superficie construida en promedio: 50m2, costo promedio: de 118.1 a 200 UMAs cuentan con 1 baño, cocina, estancia, comedor, de 1 a 2 recámaras y 1 cajón de estacionamiento.

Tradicional. Superficie construida en promedio: 71m2, costo promedio: de 200.1 a 350 UMAs cuentan con 1 y ½ baños, cocina, estancia-comedor, de 2 a 3 recámaras, 1 cajón de estacionamiento.

Media. Superficie construida en promedio: 102m2, costo promedio: de 350.1 a 750 UMAs cuentan con 2 baños, cocina, sala, comedor, de 2 a 3 recámaras, cuarto de servicio y 1 a 2 cajones de estacionamiento.

Residencial. Superficie construida en promedio: 156m2, costo promedio: de 750.1 a 1,500 UMAs cuentan con 3 a 4 baños, cocina, sala, comedor, de 3 a 4 recámaras, cuarto de servicio, sala familiar y 2 o 3 cajones de estacionamiento.

Residencial plus. Superficie construida en promedio: más de 156m2, costo promedio: más de 750.1 a 1,500 UMAs cuentan con más de 4 años, cocina, sala, comedor, más de 4 recámaras, cuarto de servicio, sala familiar y más de 3 cajones de estacionamiento.","Valor de la vivienda clasificado en: Económica, Popular, Tradicional, Media, Residencial y Residencial plus.",1,Económica,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,2,Popular,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,3,Tradicional,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,4,Media,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,5,Residencial,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,6,Residencial plus,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,,No especificado,Numérico entero,1,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
11,organismo,Organismo que financió la solución de vivienda,Organismo financiador,1,Instituto del Fondo Nacional de la Vivienda para los Trabajadores (INFONAVIT),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,2,Comisión Nacional Bancaria y de Valores (CNBV),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,3,Fondo de la Vivienda del Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado (FOVISSSTE),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,4,Sociedad Hipotecaria Federal (SHF),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,5,Comisión Nacional de Vivienda (CONAVI),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,6,Instituto de Vivienda de la Ciudad de México  (INVI),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,7,"Banco Nacional del Ejército, Fuerza Aérea y Armada, S.N.C.  (Banjercito)",Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,8,Hábitat México,Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,9,Comision Federal de Electricidad (CFE),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,10,Instituto de Seguridad Social para las Fuerzas Armadas Mexicanas (ISSFAM),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,11,Petroleos Mexicanos (PEMEX),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,12,Fondo Nacional para las Habitaciones Populares (FONHAPO),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,13,"Secretaria de Desarrollo Social ""Programa para el Desarrollo de Zonas Prioritarias"" (PDZP SEDESOL)",Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,14,Asociacion Mexicana de Entidades Financieras Especializadas A. C. (SOFOLES AMFE),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,15,Instituto de Seguridad y Servidores Sociales de los Trabajadores del Estado (ISSSTELEON),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,16,Instituto para el Desarrollo Inmobiliario y de la Vivienda para el estado de Baja California (INDIVI),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,17,Comision de Vivienda del Estado de Guanajuato (COVEG),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,18,Comision Estatal de Suelo y Vivienda de Durango (COESVI),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,19,Instituto Mexiquense de la Vivienda Social (IMEVIS),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,20,Instituto de Vivienda del Estado de Michoacán (IVEM),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,21,Instituto Tamaulipeco de Vivienda y Urbanismo (ITAVU),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,22,Instituto de la Vivienda de Nuevo León (IVNL),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,23,Instituto Veracruzano de Desarrollo Urbano Regional y Vivienda (INVIVIENDA),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
,,,,24,Instituto de Vivienda del Estado de Yucatán (IVEY),Numérico entero,2,,9,General,ene 2021 - dic 2021,Organismos Nacionales de Vivienda y Comisión Nacional Bancaria y de Valores,,,,,,,,,,,,,,,,,,,,,
